Parsed 268 entries.

Verdict counts: {'EFFECTIVE': 167, 'BEHAVIOR_FAIL': 52, 'EXCEPTION': 23, 'REASONABLE': 26}
  BEHAVIOR_FAIL      n= 52 region_size: min=1 max=8 mean=3.62 median=3.0
  EFFECTIVE          n=167 region_size: min=1 max=10 mean=4.79 median=4
  EXCEPTION          n= 23 region_size: min=2 max=12 mean=4.04 median=3
  REASONABLE         n= 26 region_size: min=1 max=9 mean=4.19 median=4.0

--- All entries sorted by region_size DESC ---
  #  verdict              rsz       SER     beh  host -> donor
 39  EFFECTIVE              4    0.8125   0.688  chebyshev -> nested_iter
 40  EFFECTIVE              4    0.8750   0.742  neumann -> algo_20883f5c
  2  EFFECTIVE              4    0.0000   0.953  residual_iter -> feedback_sic
  2  EFFECTIVE              4    0.8125   1.000  power_method -> consensus
  3  EFFECTIVE              4    0.8750   0.641  algo_6afc56cd -> chebyshev
  2  EXCEPTION              4    0.6250   0.000  algo_70b94e2f -> algo_fed329cd
  2  EXCEPTION              4    0.6250   0.000  iter_refine -> turbo_linear
  2  EXCEPTION              4    0.3750   0.000  algo_90978e2e -> algo_e0100075
  1  EFFECTIVE              4    0.0000   0.828  weight_apply_wrap -> frank_wolfe
  2  EFFECTIVE              4    0.6250   0.719  admm -> algo_0dbdf169
  1  EFFECTIVE              4    0.0000   0.281  osic -> bb
  6  EFFECTIVE              4    0.4375   0.500  soft_sic -> nesterov
  7  EFFECTIVE              4    0.6250   0.766  random_walk -> two_stage
  9  EFFECTIVE              4    0.6875   0.891  cascade -> mf_refine
 10  EFFECTIVE              4    0.8750   0.664  chebyshev -> tabu
 13  EXCEPTION              4    0.0000   0.000  stack -> local_search
 14  EXCEPTION              4    0.0000   0.000  stack -> precond_rich
 35  BEHAVIOR_FAIL          4    0.3750   0.000  map_relaxation -> sor
 44  REASONABLE             4    0.6250   0.664  reg_solve_wrap -> mmse_init_iter
 46  REASONABLE             4    0.6250   0.016  dual_ascent -> linear_solve_wrap
 48  REASONABLE             4    0.6250   0.852  nested_iter -> neumann
  1  EFFECTIVE              4    0.0625   0.023  turbo_linear -> consensus
 20  BEHAVIOR_FAIL          4    0.3750   0.000  ordering_detect -> frank_wolfe
 35  REASONABLE             4    0.4375   0.609  divide_conquer -> residual_iter
 39  BEHAVIOR_FAIL          3    0.1875   0.000  kbest -> nested_iter
  2  EFFECTIVE              3    0.3750   0.148  turbo_linear -> scaled_detect
 19  EFFECTIVE              3    0.4375   0.023  algo_4ceb2faa -> bicgstab
 34  EFFECTIVE              3    0.5625   0.578  local_search -> algo_5afba2e6
 32  EFFECTIVE              3    0.6250   0.672  tabu -> algo_f1c40d5f
 34  EFFECTIVE              3    0.6875   0.719  algo_0c48e07f -> dp_detect
  1  EFFECTIVE              3    0.0000   0.969  algo_8b5f9a5c -> zf
  1  EXCEPTION              3    0.5625   0.000  multi_scale -> algo_55c98f31
  3  EXCEPTION              3    0.6250   0.000  ssor -> algo_edbff0a9
  2  EXCEPTION              3    0.5625   0.000  algo_f1b71efb -> algo_673c7bf1
  3  EXCEPTION              3    0.6250   0.000  amp -> algo_0867f6f3
  3  EXCEPTION              3    0.6250   0.000  algo_1e1b0870 -> algo_5f53248c
  1  EXCEPTION              3    0.1875   0.000  sor -> algo_54cf4fe7
  3  EFFECTIVE              3    0.6250   0.797  em -> soft_sic
  2  EFFECTIVE              3    0.4375   0.312  algo_f8c5a697 -> iter_refine
 16  EXCEPTION              3    0.0000   0.000  stack -> nested_iter
 20  BEHAVIOR_FAIL          3    0.3750   0.000  linear_solve_wrap -> ec
 21  BEHAVIOR_FAIL          3    0.3750   0.000  qr_detect -> local_search
 23  BEHAVIOR_FAIL          3    0.3750   0.000  scaled_detect -> stationary
 25  BEHAVIOR_FAIL          3    0.3750   0.000  linear_solve_wrap -> diag_dominant
 36  BEHAVIOR_FAIL          3    0.3750   0.000  ssor -> layer_peeling
 38  BEHAVIOR_FAIL          3    0.5625   0.000  heavy_ball -> frank_wolfe
 39  BEHAVIOR_FAIL          3    0.5625   0.000  heavy_ball -> weight_apply_wrap
 41  REASONABLE             3    0.6250   0.656  lmmse -> map_relaxation
 45  BEHAVIOR_FAIL          3    0.6250   0.000  frank_wolfe -> scaled_detect
  9  EFFECTIVE              3    0.7500   0.828  multi_restart -> gs_block
 10  EFFECTIVE              3    0.9375   0.945  importance_sampling -> greedy
 19  BEHAVIOR_FAIL          3    0.3750   0.000  linear_solve_wrap -> sa
 23  BEHAVIOR_FAIL          3    0.3750   0.000  qr_detect -> minres
 24  BEHAVIOR_FAIL          3    0.3750   0.000  residual_iter -> sparse_detect
 25  BEHAVIOR_FAIL          3    0.3750   0.000  precond_solve_wrap -> residual_net
 27  BEHAVIOR_FAIL          3    0.3750   0.000  gs_block -> minres
 29  BEHAVIOR_FAIL          3    0.3750   0.000  sor -> bicgstab
 31  BEHAVIOR_FAIL          3    0.3750   0.000  subspace_detect -> tabu
 37  BEHAVIOR_FAIL          3    0.5625   0.000  heavy_ball -> block_detect
 38  BEHAVIOR_FAIL          3    0.5625   0.000  bb -> multi_restart
 39  BEHAVIOR_FAIL          3    0.5625   0.000  admm -> frank_wolfe
 40  BEHAVIOR_FAIL          3    0.5625   0.000  admm -> stack
 45  BEHAVIOR_FAIL          3    0.6250   0.000  landweber -> layer_peeling
  1  EFFECTIVE              2    0.0625   0.805  grad_descent -> stack
 14  EFFECTIVE              2    0.3750   0.672  gibbs -> jacobi
 15  EFFECTIVE              2    0.4375   0.516  random_walk -> amp
 21  EFFECTIVE              2    0.5000   0.609  mh -> soft_sic
 25  EFFECTIVE              2    0.7500   0.570  random_walk -> turbo_linear
 32  BEHAVIOR_FAIL          2    0.0000   0.000  amp -> ec
 36  BEHAVIOR_FAIL          2    0.1875   0.000  admm -> algo_5f9e865b
  7  EFFECTIVE              2    0.4375   0.344  algo_c4eae81a -> sa
  8  EFFECTIVE              2    0.4375   0.031  multi_scale -> random_walk
  9  EFFECTIVE              2    0.4375   0.930  power_method -> algo_8396549d
 10  EFFECTIVE              2    0.4375   0.023  residual_iter -> projected_gd
 13  EFFECTIVE              2    0.4375   0.078  steepest_desc -> osic
 14  EFFECTIVE              2    0.4375   0.109  algo_8b232ee0 -> residual_net
 16  EFFECTIVE              2    0.4375   0.266  turbo_linear -> chebyshev
 28  EFFECTIVE              2    0.5625   0.859  overrelax -> richardson
 35  EFFECTIVE              2    0.5625   0.352  ec -> algo_ea986ad2
 38  EFFECTIVE              2    0.5625   0.727  algo_e7206b3f -> iter_refine
 39  EFFECTIVE              2    0.5625   0.961  diag_dominant -> dual_ascent
  1  EFFECTIVE              2    0.3750   0.672  parallel -> algo_c88c642a
  2  EFFECTIVE              2    0.4375   0.344  algo_20883f5c -> map_relaxation
  6  EFFECTIVE              2    0.4375   0.031  penalty -> em
 11  EFFECTIVE              2    0.4375   0.031  penalty -> algo_4b13f6bc
 12  EFFECTIVE              2    0.4375   0.383  osic -> chebyshev
 13  EFFECTIVE              2    0.4375   0.023  algo_5a5329f6 -> stationary
 18  EFFECTIVE              2    0.5000   0.414  admm -> algo_9a246b90
 25  EFFECTIVE              2    0.5625   0.812  gibbs -> consensus
  3  EFFECTIVE              2    0.7500   0.922  feedback_sic -> algo_a768bef2
  1  EXCEPTION              2    0.6250   0.000  algo_4cc9eb75 -> steepest_desc
  2  EXCEPTION              2    0.5625   0.000  algo_71caad23 -> svd_detect
  1  EXCEPTION              2    0.5625   0.000  algo_6882fc11 -> algo_706edf9c
  1  EXCEPTION              2    0.5625   0.000  algo_46f9662c -> richardson
  3  EXCEPTION              2    0.4375   0.000  layer_peeling -> em
  1  EFFECTIVE              2    0.1875   0.016  residual_net -> grad_descent
  1  EFFECTIVE              2    0.3125   0.266  osic -> algo_e166efaf
  3  EFFECTIVE              2    0.5000   0.094  algo_0155a61d -> algo_b80ef277
  3  EFFECTIVE              2    0.0000   0.172  algo_9a311aaf -> algo_c374d477
  1  EFFECTIVE              2    0.4375   0.469  algo_972fae52 -> algo_2e824622
 17  BEHAVIOR_FAIL          2    0.3750   0.000  lmmse -> ssor
 18  BEHAVIOR_FAIL          2    0.3750   0.000  svd_detect -> precond_solve_wrap
 19  BEHAVIOR_FAIL          2    0.3750   0.000  ordering_detect -> cg
 22  BEHAVIOR_FAIL          2    0.3750   0.000  divide_conquer -> ordering_detect
